Year,Style,Color,Retail Price,Resale - New,Resale - Pre-Owned
2022,Lindy 26,Rose Sakura,8957,22105,16016
2023,Lindy 26,Rose Sakura,8530,17529,15909
2024,Lindy 26,Rose Sakura,9162,15279,15099
2025,Lindy 26,Rose Sakura,9061,15050,11289
2015,Lindy 26,Bleu Brume,8850,21910,17376
2016,Lindy 26,Bleu Brume,9055,15682,15865
2017,Lindy 26,Bleu Brume,9224,13155,16577
2018,Lindy 26,Bleu Brume,9629,21577,17490
2019,Lindy 26,Bleu Brume,9610,16338,18268
2020,Lindy 26,Bleu Brume,10245,25193,11658
2021,Lindy 26,Bleu Brume,10570,17093,16081
2022,Lindy 26,Bleu Brume,10557,17201,21010
2023,Lindy 26,Bleu Brume,10137,16544,11723
2024,Lindy 26,Bleu Brume,10700,22300,12145
2025,Lindy 26,Bleu Brume,11632,20911,22074
2015,Lindy 26,Vert Criquet,8762,20178,10068
2016,Lindy 26,Vert Criquet,8990,19615,10348
2017,Lindy 26,Vert Criquet,9357,22766,18096
2018,Lindy 26,Vert Criquet,9386,13822,10966
2019,Lindy 26,Vert Criquet,9781,19058,13719
2020,Lindy 26,Vert Criquet,10061,23390,17761
2021,Lindy 26,Vert Criquet,10378,16050,13631
2022,Lindy 26,Vert Criquet,10471,25442,18941
2023,Lindy 26,Vert Criquet,10468,18507,19310
2024,Lindy 26,Vert Criquet,10529,18225,13200
2025,Lindy 26,Vert Criquet,11182,23243,21205
2015,Lindy 30,Gold,7718,19232,9556
2016,Lindy 30,Gold,7900,15775,11596
2017,Lindy 30,Gold,8249,11708,13020
2018,Lindy 30,Gold,8288,11923,14449
2019,Lindy 30,Gold,8812,13752,11583
2020,Lindy 30,Gold,9154,20911,15189
2021,Lindy 30,Gold,9514,15299,12656
2022,Lindy 30,Gold,9368,14480,16576
2023,Lindy 30,Gold,8953,20306,10693
2024,Lindy 30,Gold,9604,16218,15705
2025,Lindy 30,Gold,9783,23007,14103
2015,Lindy 30,Noir,9199,13010,16057
2016,Lindy 30,Noir,9477,13132,11589
2017,Lindy 30,Noir,9647,23762,13796
2018,Lindy 30,Noir,10094,23774,12732
2019,Lindy 30,Noir,9853,14798,11270
2020,Lindy 30,Noir,9975,13212,11284
2021,Lindy 30,Noir,10747,24073,15757
2022,Lindy 30,Noir,10309,17036,18948
2023,Lindy 30,Noir,10412,22030,13622
2024,Lindy 30,Noir,11139,20869,13775
2025,Lindy 30,Noir,12034,25854,15784
2015,Lindy 30,Etoupe,10775,26280,19713
2016,Lindy 30,Etoupe,10977,26452,16695
2017,Lindy 30,Etoupe,11294,19915,15301
2018,Lindy 30,Etoupe,11384,25655,14879
2019,Lindy 30,Etoupe,11795,20849,18076
2020,Lindy 30,Etoupe,11541,26969,22796
2021,Lindy 30,Etoupe,12229,26339,18885
2022,Lindy 30,Etoupe,11957,23019,13932
2023,Lindy 30,Etoupe,12583,22337,15931
2024,Lindy 30,Etoupe,13307,32197,15178
2025,Lindy 30,Etoupe,13463,33367,15359
2015,Lindy 30,Etain,11900,19024,17889
2016,Lindy 30,Etain,12153,28857,13850
2017,Lindy 30,Etain,12287,18077,22577
2018,Lindy 30,Etain,12596,29819,23181
2019,Lindy 30,Etain,12857,25794,21677
2020,Lindy 30,Etain,13373,26453,17520
2021,Lindy 30,Etain,13155,17658,19772
2022,Lindy 30,Etain,13222,32692,25263
2023,Lindy 30,Etain,13971,31491,21560
2024,Lindy 30,Etain,14244,32330,15991
2025,Lindy 30,Etain,13755,18152,23768
2015,Lindy 30,Craie,9662,18734,10990
2016,Lindy 30,Craie,9953,15409,16041
2017,Lindy 30,Craie,10211,22597,14872
2018,Lindy 30,Craie,10559,23700,15726
2019,Lindy 30,Craie,10283,16056,19905
2020,Lindy 30,Craie,10876,23391,14323
2021,Lindy 30,Craie,11308,28001,20797
2022,Lindy 30,Craie,11596,18321,20750
2023,Lindy 30,Craie,11390,17629,13607
2024,Lindy 30,Craie,11499,18785,16582
2025,Lindy 30,Craie,11525,16044,17897
2015,Lindy 30,Nata,8363,13860,10058
2016,Lindy 30,Nata,8570,16874,14653
2017,Lindy 30,Nata,8751,18596,13588
2018,Lindy 30,Nata,8974,19059,12101
2019,Lindy 30,Nata,9178,18642,16222
2020,Lindy 30,Nata,9715,23767,17004
2021,Lindy 30,Nata,9430,12654,18070
2022,Lindy 30,Nata,9595,22106,15077
2023,Lindy 30,Nata,10076,24099,19480
2024,Lindy 30,Nata,10607,22922,14022
2025,Lindy 30,Nata,10056,24060,14659
2015,Lindy 30,Rose Sakura,11726,18170,15375
2016,Lindy 30,Rose Sakura,11986,19989,21237
2017,Lindy 30,Rose Sakura,12324,23930,23428
2018,Lindy 30,Rose Sakura,12581,25391,19023
2019,Lindy 30,Rose Sakura,12408,23984,24806
2020,Lindy 30,Rose Sakura,13196,25407,22564
2021,Lindy 30,Rose Sakura,13350,17948,26028
2022,Lindy 30,Rose Sakura,12848,24620,23226
2023,Lindy 30,Rose Sakura,13289,26508,23741
2024,Lindy 30,Rose Sakura,14024,29789,16366
2025,Lindy 30,Rose Sakura,13499,26859,23216
2015,Lindy 30,Bleu Brume,11201,27469,17362
2016,Lindy 30,Bleu Brume,11372,26982,13504
2017,Lindy 30,Bleu Brume,11607,15147,15810
2018,Lindy 30,Bleu Brume,11711,23080,23143
2019,Lindy 30,Bleu Brume,12256,26177,22268
2020,Lindy 30,Bleu Brume,12580,28939,17934
2021,Lindy 30,Bleu Brume,12680,26523,23365
2022,Lindy 30,Bleu Brume,12518,17614,22932
2023,Lindy 30,Bleu Brume,12838,26532,15423
2024,Lindy 30,Bleu Brume,13707,27010,22646
2025,Lindy 30,Bleu Brume,13270,24878,19227
2015,Lindy 30,Vert Criquet,10893,21868,18150
2016,Lindy 30,Vert Criquet,11129,24396,15645
2017,Lindy 30,Vert Criquet,11220,15109,19947
2018,Lindy 30,Vert Criquet,11655,20150,20261
2019,Lindy 30,Vert Criquet,11665,16199,17723
2020,Lindy 30,Vert Criquet,11699,23197,22054
2021,Lindy 30,Vert Criquet,11880,25971,18980
2022,Lindy 30,Vert Criquet,12402,25444,23789
2023,Lindy 30,Vert Criquet,12247,27883,16204
2024,Lindy 30,Vert Criquet,12332,26066,15262
2025,Lindy 30,Vert Criquet,12802,16719,23368
2015,Bolide 27,Gold,11654,16705,14785
2016,Bolide 27,Gold,11939,23460,19064
2017,Bolide 27,Gold,12202,18246,23772
2018,Bolide 27,Gold,12368,22485,23037
2019,Bolide 27,Gold,12648,27416,20391
2020,Bolide 27,Gold,12650,27255,20789
2021,Bolide 27,Gold,13051,26580,23631
2022,Bolide 27,Gold,12915,22274,24313
2023,Bolide 27,Gold,13163,24167,16133
2024,Bolide 27,Gold,13907,28544,22110
2025,Bolide 27,Gold,14504,31061,18888
2015,Bolide 27,Noir,7835,12346,14138
2016,Bolide 27,Noir,8098,13888,10773
2017,Bolide 27,Noir,8417,13314,11272
2018,Bolide 27,Noir,8652,19590,14899
2019,Bolide 27,Noir,8590,13353,10300
2020,Bolide 27,Noir,8638,20033,16893
2021,Bolide 27,Noir,9127,20752,14461
2022,Bolide 27,Noir,9672,20958,16322
2023,Bolide 27,Noir,9232,14946,14932
2024,Bolide 27,Noir,10398,23860,15018
2025,Bolide 27,Noir,9456,22836,11465
2015,Bolide 27,Etoupe,9163,14644,16443
2016,Bolide 27,Etoupe,9338,21556,18215
2017,Bolide 27,Etoupe,9486,15623,17081
2018,Bolide 27,Etoupe,9928,18872,17306
2019,Bolide 27,Etoupe,10247,18499,13674
2020,Bolide 27,Etoupe,9994,23994,15411
2021,Bolide 27,Etoupe,10257,23131,18697
2022,Bolide 27,Etoupe,10323,23973,14113
2023,Bolide 27,Etoupe,11550,22254,17741
2024,Bolide 27,Etoupe,11745,17185,23481
2025,Bolide 27,Etoupe,11263,26550,15819
2015,Bolide 27,Etain,7645,18118,12963
2016,Bolide 27,Etain,7902,17243,8879
2017,Bolide 27,Etain,8004,11255,15762
2018,Bolide 27,Etain,8127,11885,14025
2019,Bolide 27,Etain,8782,17384,10861
2020,Bolide 27,Etain,8603,17720,10288
2021,Bolide 27,Etain,8770,21446,11763
2022,Bolide 27,Etain,9504,17695,17472
2023,Bolide 27,Etain,9403,22411,13848
2024,Bolide 27,Etain,10174,25005,13232
2025,Bolide 27,Etain,10111,19237,18671
2015,Bolide 27,Craie,7574,10676,10844
2016,Bolide 27,Craie,7734,10274,10764
2017,Bolide 27,Craie,8084,12270,9444
2018,Bolide 27,Craie,8297,14415,11395
2019,Bolide 27,Craie,8206,20260,10463
2020,Bolide 27,Craie,9045,21197,11542
2021,Bolide 27,Craie,9271,19545,10650
2022,Bolide 27,Craie,9034,20348,16613
2023,Bolide 27,Craie,9300,23031,17521
2024,Bolide 27,Craie,9884,23496,17254
2025,Bolide 27,Craie,9970,18212,13923
2015,Bolide 27,Nata,8162,11785,11444
2016,Bolide 27,Nata,8363,18350,9827
2017,Bolide 27,Nata,8580,19645,16368
2018,Bolide 27,Nata,8734,20010,17467
2019,Bolide 27,Nata,9250,17869,18171
2020,Bolide 27,Nata,9230,12004,11575
2021,Bolide 27,Nata,9953,17290,19489
2022,Bolide 27,Nata,9675,24039,12786
2023,Bolide 27,Nata,9994,18423,11046
2024,Bolide 27,Nata,10235,13860,14886
2025,Bolide 27,Nata,9717,20163,14699
2015,Bolide 27,Rose Sakura,9139,21457,16266
2016,Bolide 27,Rose Sakura,9367,17199,18459
2017,Bolide 27,Rose Sakura,9643,14092,10735
2018,Bolide 27,Rose Sakura,10013,21320,11339
2019,Bolide 27,Rose Sakura,10021,15066,15050
2020,Bolide 27,Rose Sakura,10072,17185,20039
2021,Bolide 27,Rose Sakura,10713,17735,12974
2022,Bolide 27,Rose Sakura,10943,22293,21127
2023,Bolide 27,Rose Sakura,10414,22110,17722
2024,Bolide 27,Rose Sakura,11105,14654,19605
2025,Bolide 27,Rose Sakura,11015,16039,17797
2015,Bolide 27,Bleu Brume,7136,9423,8800
2016,Bolide 27,Bleu Brume,7392,9714,8470
2017,Bolide 27,Bleu Brume,7622,18387,8848
2018,Bolide 27,Bleu Brume,7973,18073,14646
2019,Bolide 27,Bleu Brume,8242,20311,14775
2020,Bolide 27,Bleu Brume,8403,16858,10946
2021,Bolide 27,Bleu Brume,8703,13883,17349
2022,Bolide 27,Bleu Brume,9166,13782,15881
2023,Bolide 27,Bleu Brume,8450,13018,13726
2024,Bolide 27,Bleu Brume,8683,20037,11081
2025,Bolide 27,Bleu Brume,9059,13031,16523
2015,Bolide 27,Vert Criquet,11116,18813,20048
2016,Bolide 27,Vert Criquet,11334,27698,16303
2017,Bolide 27,Vert Criquet,11452,26624,22832
2018,Bolide 27,Vert Criquet,11997,27087,22284
2019,Bolide 27,Vert Criquet,12091,25337,14563
2020,Bolide 27,Vert Criquet,12190,23665,21127
2021,Bolide 27,Vert Criquet,12395,24953,15879
2022,Bolide 27,Vert Criquet,12649,31326,13981
2023,Bolide 27,Vert Criquet,12839,27832,25332
2024,Bolide 27,Vert Criquet,12936,29773,24285
2025,Bolide 27,Vert Criquet,13822,19099,21422
2015,Bolide 31,Gold,11169,14579,20070
2016,Bolide 31,Gold,11466,22276,17510
2017,Bolide 31,Gold,11469,27501,13620
2018,Bolide 31,Gold,11643,16631,22114
2019,Bolide 31,Gold,11901,19862,20615
2020,Bolide 31,Gold,12271,29525,20112
2021,Bolide 31,Gold,12439,30649,21654
2022,Bolide 31,Gold,13162,27855,23602
2023,Bolide 31,Gold,13448,29351,24315
2024,Bolide 31,Gold,13487,33039,24014
2025,Bolide 31,Gold,14168,25295,24675
2015,Bolide 31,Noir,10840,20526,20604
2016,Bolide 31,Noir,11116,22057,21096
2017,Bolide 31,Noir,11216,18069,16872
2018,Bolide 31,Noir,11488,18446,16309
2019,Bolide 31,Noir,11516,17477,15519
2020,Bolide 31,Noir,12191,19260,17065
2021,Bolide 31,Noir,12444,19552,18692
2022,Bolide 31,Noir,12408,16591,19353
2023,Bolide 31,Noir,12105,20935,19622
2024,Bolide 31,Noir,12907,31487,17492
2025,Bolide 31,Noir,13370,19107,18544
2015,Bolide 31,Etoupe,11295,16195,12811
2016,Bolide 31,Etoupe,11453,27046,22585
2017,Bolide 31,Etoupe,11717,15232,14220
2018,Bolide 31,Etoupe,12014,23126,20558
2019,Bolide 31,Etoupe,12218,16121,14385
2020,Bolide 31,Etoupe,12332,17574,19400
2021,Bolide 31,Etoupe,12661,17493,23239
2022,Bolide 31,Etoupe,12826,25306,23752
2023,Bolide 31,Etoupe,13637,23894,23420
2024,Bolide 31,Etoupe,13259,26048,20367
2025,Bolide 31,Etoupe,13348,23298,19067
2015,Bolide 31,Etain,11772,21946,16148
2016,Bolide 31,Etain,12055,28542,14260
2017,Bolide 31,Etain,12179,26501,24352
2018,Bolide 31,Etain,12448,25403,22467
2019,Bolide 31,Etain,12515,26456,15598
2020,Bolide 31,Etain,12789,20452,18206
2021,Bolide 31,Etain,12845,26906,16740
2022,Bolide 31,Etain,13600,19884,19256
2023,Bolide 31,Etain,13291,27221,23469
2024,Bolide 31,Etain,13625,22998,17417
2025,Bolide 31,Etain,13419,20962,19165
2015,Bolide 31,Craie,11016,20331,14411
2016,Bolide 31,Craie,11227,22944,12847
2017,Bolide 31,Craie,11408,19909,17559
2018,Bolide 31,Craie,11824,27490,13156
2019,Bolide 31,Craie,11769,18986,19025
2020,Bolide 31,Craie,11868,27395,20774
2021,Bolide 31,Craie,12270,21441,16990
2022,Bolide 31,Craie,12624,27538,20188
2023,Bolide 31,Craie,12488,20868,23454
2024,Bolide 31,Craie,13522,30657,15248
2025,Bolide 31,Craie,13775,31510,15870
2015,Bolide 31,Nata,8705,19423,11147
2016,Bolide 31,Nata,8887,13992,14028
2017,Bolide 31,Nata,9166,13413,13670
2018,Bolide 31,Nata,9220,12450,12749
2019,Bolide 31,Nata,9306,19517,11785
2020,Bolide 31,Nata,9511,13947,18105
2021,Bolide 31,Nata,9737,22297,15243
2022,Bolide 31,Nata,9970,13608,14927
2023,Bolide 31,Nata,10092,19763,16612
2024,Bolide 31,Nata,10073,23829,12563
2025,Bolide 31,Nata,10596,17532,16958
2015,Bolide 31,Rose Sakura,7491,11660,8726
2016,Bolide 31,Rose Sakura,7695,18638,12587
2017,Bolide 31,Rose Sakura,7887,14757,15459
2018,Bolide 31,Rose Sakura,8293,17927,14857
2019,Bolide 31,Rose Sakura,8415,15936,14122
2020,Bolide 31,Rose Sakura,8737,11472,16388
2021,Bolide 31,Rose Sakura,9236,16754,15329
2022,Bolide 31,Rose Sakura,8602,12634,9624
2023,Bolide 31,Rose Sakura,9209,18663,14925
2024,Bolide 31,Rose Sakura,9108,14527,16044
2025,Bolide 31,Rose Sakura,10125,17467,15705
2015,Bolide 31,Bleu Brume,7523,13237,11999
2016,Bolide 31,Bleu Brume,7745,11767,15120
2017,Bolide 31,Bleu Brume,7977,10608,15841
2018,Bolide 31,Bleu Brume,8166,14742,10657
2019,Bolide 31,Bleu Brume,8510,19977,12494
2020,Bolide 31,Bleu Brume,8632,13091,13675
2021,Bolide 31,Bleu Brume,8432,13914,14497
2022,Bolide 31,Bleu Brume,9439,18995,16493
2023,Bolide 31,Bleu Brume,8991,18383,15286
2024,Bolide 31,Bleu Brume,9841,24235,16921
2025,Bolide 31,Bleu Brume,10228,15774,12104
2015,Bolide 31,Vert Criquet,11279,16570,12644
2016,Bolide 31,Vert Criquet,11443,15491,16436
2017,Bolide 31,Vert Criquet,11738,17685,14576
2018,Bolide 31,Vert Criquet,12014,22028,17839
2019,Bolide 31,Vert Criquet,11958,25786,14909
2020,Bolide 31,Vert Criquet,12450,17560,21374
2021,Bolide 31,Vert Criquet,12362,27853,23175
2022,Bolide 31,Vert Criquet,12424,26675,18968
2023,Bolide 31,Vert Criquet,13085,25402,21341
2024,Bolide 31,Vert Criquet,13498,24850,20902
2025,Bolide 31,Vert Criquet,12825,24217,20039
2015,Garden Party 30,Gold,11466,17197,20732
2016,Garden Party 30,Gold,11694,29080,22261
2017,Garden Party 30,Gold,12063,29552,16271
2018,Garden Party 30,Gold,12285,27331,21978
2019,Garden Party 30,Gold,12596,25362,23247
2020,Garden Party 30,Gold,12432,22009,16491
2021,Garden Party 30,Gold,12815,19947,24784
2022,Garden Party 30,Gold,12919,18266,22364
2023,Garden Party 30,Gold,13329,33195,25687
2024,Garden Party 30,Gold,12981,28625,24318
2025,Garden Party 30,Gold,14414,19328,23410
2015,Garden Party 30,Noir,11972,26826,15807
2016,Garden Party 30,Noir,12175,21772,18760
2017,Garden Party 30,Noir,12559,20899,21694
2018,Garden Party 30,Noir,12586,17091,21285
2019,Garden Party 30,Noir,12600,30206,20000
2020,Garden Party 30,Noir,12995,30102,16985
2021,Garden Party 30,Noir,13512,22556,24540
2022,Garden Party 30,Noir,13364,30048,20835
2023,Garden Party 30,Noir,14108,30571,24562
2024,Garden Party 30,Noir,13389,24906,19229
2025,Garden Party 30,Noir,14751,23913,21491
2015,Garden Party 30,Etoupe,10270,21128,13937
2016,Garden Party 30,Etoupe,10517,22402,11903
2017,Garden Party 30,Etoupe,10642,16027,20266
2018,Garden Party 30,Etoupe,11115,22992,18121
2019,Garden Party 30,Etoupe,11099,16207,13727
2020,Garden Party 30,Etoupe,11140,27043,19923
2021,Garden Party 30,Etoupe,12059,24989,21732
2022,Garden Party 30,Etoupe,12073,26686,22652
2023,Garden Party 30,Etoupe,12411,29550,18845
2024,Garden Party 30,Etoupe,12505,29025,23080
2025,Garden Party 30,Etoupe,11790,20741,17796
2015,Garden Party 30,Etain,11188,25194,22213
2016,Garden Party 30,Etain,11478,25276,16546
2017,Garden Party 30,Etain,11555,16529,22923
2018,Garden Party 30,Etain,11658,26550,23024
2019,Garden Party 30,Etain,12273,16578,16087
2020,Garden Party 30,Etain,11952,24693,13496
2021,Garden Party 30,Etain,12204,19614,15573
2022,Garden Party 30,Etain,12602,27701,20408
2023,Garden Party 30,Etain,12952,26317,23390
2024,Garden Party 30,Etain,13360,29854,21129
2025,Garden Party 30,Etain,13899,32116,26179
2015,Garden Party 30,Craie,10136,13592,17273
2016,Garden Party 30,Craie,10381,13538,12597
2017,Garden Party 30,Craie,10580,17523,13858
2018,Garden Party 30,Craie,10709,21726,18486
2019,Garden Party 30,Craie,11297,24593,20142
2020,Garden Party 30,Craie,11219,18701,13771
2021,Garden Party 30,Craie,11695,16379,15211
2022,Garden Party 30,Craie,11417,20879,22220
2023,Garden Party 30,Craie,11440,15698,19888
2024,Garden Party 30,Craie,12023,23772,23209
2025,Garden Party 30,Craie,12520,21448,16010
2015,Garden Party 30,Nata,10297,17378,20156
2016,Garden Party 30,Nata,10483,15087,16459
2017,Garden Party 30,Nata,10673,20416,12779
2018,Garden Party 30,Nata,10855,23504,12012
2019,Garden Party 30,Nata,11080,16250,13481
2020,Garden Party 30,Nata,11583,22262,15366
2021,Garden Party 30,Nata,11477,26644,12906
2022,Garden Party 30,Nata,11982,20358,15430
2023,Garden Party 30,Nata,12553,19928,19780
2024,Garden Party 30,Nata,12655,23592,24233
2025,Garden Party 30,Nata,13265,30899,16568
2015,Garden Party 30,Rose Sakura,8505,13645,14350
2016,Garden Party 30,Rose Sakura,8774,18450,12712
2017,Garden Party 30,Rose Sakura,8965,14100,14382
2018,Garden Party 30,Rose Sakura,9135,13538,10167
2019,Garden Party 30,Rose Sakura,9632,13899,15470
2020,Garden Party 30,Rose Sakura,9539,20994,18162
2021,Garden Party 30,Rose Sakura,10042,16486,16255
2022,Garden Party 30,Rose Sakura,9704,15938,18723
2023,Garden Party 30,Rose Sakura,10248,20746,14896
2024,Garden Party 30,Rose Sakura,10021,24860,11476
2025,Garden Party 30,Rose Sakura,10117,22412,13893
2015,Garden Party 30,Bleu Brume,9977,19206,11117
2016,Garden Party 30,Bleu Brume,10134,24023,11940
2017,Garden Party 30,Bleu Brume,10509,18764,13752
2018,Garden Party 30,Bleu Brume,10702,14341,12235
2019,Garden Party 30,Bleu Brume,11092,22537,19219
2020,Garden Party 30,Bleu Brume,10957,22848,18033
2021,Garden Party 30,Bleu Brume,11647,16202,15921
2022,Garden Party 30,Bleu Brume,11645,22974,18468
2023,Garden Party 30,Bleu Brume,11214,27304,21529
2024,Garden Party 30,Bleu Brume,12113,20488,22921
2025,Garden Party 30,Bleu Brume,12425,26826,22553
2015,Garden Party 30,Vert Criquet,10418,22756,14857
2016,Garden Party 30,Vert Criquet,10693,23223,16073
2017,Garden Party 30,Vert Criquet,10834,24547,20969
2018,Garden Party 30,Vert Criquet,11256,20539,19702
2019,Garden Party 30,Vert Criquet,11598,25671,18144
2020,Garden Party 30,Vert Criquet,11287,26845,21188
2021,Garden Party 30,Vert Criquet,11552,15920,19699
2022,Garden Party 30,Vert Criquet,11858,23344,19433
2023,Garden Party 30,Vert Criquet,12183,29668,16577
2024,Garden Party 30,Vert Criquet,12856,31053,19394
2025,Garden Party 30,Vert Criquet,12272,20533,16332
2015,Herbag Zip 31,Gold,7509,14865,14448
2016,Herbag Zip 31,Gold,7808,19271,10858
2017,Herbag Zip 31,Gold,8044,17387,12432
2018,Herbag Zip 31,Gold,8358,16519,15309
2019,Herbag Zip 31,Gold,8224,17023,12857
2020,Herbag Zip 31,Gold,8351,13500,13103
2021,Herbag Zip 31,Gold,9289,20175,14118
2022,Herbag Zip 31,Gold,9228,12399,18123
2023,Herbag Zip 31,Gold,9861,22076,18067
2024,Herbag Zip 31,Gold,9401,15548,15031
2025,Herbag Zip 31,Gold,9108,12973,11029
2015,Herbag Zip 31,Noir,11572,28711,21942
2016,Herbag Zip 31,Noir,11733,17427,17482
2017,Herbag Zip 31,Noir,11935,25094,20648
2018,Herbag Zip 31,Noir,12079,17365,19098
2019,Herbag Zip 31,Noir,12587,25523,21452
2020,Herbag Zip 31,Noir,12951,27084,20112
2021,Herbag Zip 31,Noir,12960,26359,23731
2022,Herbag Zip 31,Noir,12637,30583,18982
2023,Herbag Zip 31,Noir,13464,31882,23219
2024,Herbag Zip 31,Noir,14260,22327,27587
2025,Herbag Zip 31,Noir,13491,31219,22094
2015,Herbag Zip 31,Etoupe,7280,12158,12780
2016,Herbag Zip 31,Etoupe,7471,11680,11005
2017,Herbag Zip 31,Etoupe,7705,19026,12760
2018,Herbag Zip 31,Etoupe,7750,15598,8637
2019,Herbag Zip 31,Etoupe,8035,15264,11042
2020,Herbag Zip 31,Etoupe,8699,12658,15180
2021,Herbag Zip 31,Etoupe,9045,18539,16527
2022,Herbag Zip 31,Etoupe,9198,12627,11882
2023,Herbag Zip 31,Etoupe,8973,19695,17455
2024,Herbag Zip 31,Etoupe,9709,22274,15023
2025,Herbag Zip 31,Etoupe,8812,16053,12113
2015,Herbag Zip 31,Etain,11284,24757,18094
2016,Herbag Zip 31,Etain,11512,24440,19251
2017,Herbag Zip 31,Etain,11609,24767,13872
2018,Herbag Zip 31,Etain,12028,23600,19450
2019,Herbag Zip 31,Etain,12388,20562,19654
2020,Herbag Zip 31,Etain,12598,30015,14151
2021,Herbag Zip 31,Etain,12875,25849,22077
2022,Herbag Zip 31,Etain,12515,31220,22651
2023,Herbag Zip 31,Etain,13351,18360,23471
2024,Herbag Zip 31,Etain,13514,19668,22257
2025,Herbag Zip 31,Etain,13466,28651,15779
2015,Herbag Zip 31,Craie,11266,24102,21165
2016,Herbag Zip 31,Craie,11417,20621,19253
2017,Herbag Zip 31,Craie,11809,16942,23461
2018,Herbag Zip 31,Craie,12020,20784,23801
2019,Herbag Zip 31,Craie,12272,20716,21515
2020,Herbag Zip 31,Craie,12245,20972,17085
2021,Herbag Zip 31,Craie,12854,19820,24629
2022,Herbag Zip 31,Craie,13092,26031,24647
2023,Herbag Zip 31,Craie,13428,19553,23262
2024,Herbag Zip 31,Craie,12998,25961,23106
2025,Herbag Zip 31,Craie,13334,29662,24437
2015,Herbag Zip 31,Nata,11216,18931,20359
2016,Herbag Zip 31,Nata,11512,23047,19132
2017,Herbag Zip 31,Nata,11675,21171,17540
2018,Herbag Zip 31,Nata,12052,18819,15428
2019,Herbag Zip 31,Nata,12380,17735,15308
2020,Herbag Zip 31,Nata,12096,16248,23120
2021,Herbag Zip 31,Nata,12836,16909,17768
2022,Herbag Zip 31,Nata,12455,16772,22479
2023,Herbag Zip 31,Nata,12457,24570,15313
2024,Herbag Zip 31,Nata,13571,23678,26836
2025,Herbag Zip 31,Nata,12897,19639,17910
2015,Herbag Zip 31,Rose Sakura,10500,20680,15766
2016,Herbag Zip 31,Rose Sakura,10733,26557,19556
2017,Herbag Zip 31,Rose Sakura,10872,17834,15339
2018,Herbag Zip 31,Rose Sakura,11190,19325,15123
2019,Herbag Zip 31,Rose Sakura,11311,17186,20595
2020,Herbag Zip 31,Rose Sakura,11980,23052,18509
2021,Herbag Zip 31,Rose Sakura,11963,29152,22054
2022,Herbag Zip 31,Rose Sakura,12589,17402,21602
2023,Herbag Zip 31,Rose Sakura,12562,18942,17991
2024,Herbag Zip 31,Rose Sakura,13000,21303,24352
2025,Herbag Zip 31,Rose Sakura,12475,28314,19579
2015,Herbag Zip 31,Bleu Brume,7730,16509,13458
2016,Herbag Zip 31,Bleu Brume,8007,13938,13347
2017,Herbag Zip 31,Bleu Brume,8154,11313,14082
2018,Herbag Zip 31,Bleu Brume,8477,20167,11970
2019,Herbag Zip 31,Bleu Brume,8814,16457,10956
2020,Herbag Zip 31,Bleu Brume,8654,21372,15126
2021,Herbag Zip 31,Bleu Brume,8719,18622,15844
2022,Herbag Zip 31,Bleu Brume,9295,15754,17023
2023,Herbag Zip 31,Bleu Brume,9545,16546,11316
2024,Herbag Zip 31,Bleu Brume,10014,24688,17870
2025,Herbag Zip 31,Bleu Brume,9965,23515,19644
2015,Herbag Zip 31,Vert Criquet,9735,14095,12659
2016,Herbag Zip 31,Vert Criquet,10017,24809,19492
2017,Herbag Zip 31,Vert Criquet,10284,17049,13786
2018,Herbag Zip 31,Vert Criquet,10324,22602,17122
2019,Herbag Zip 31,Vert Criquet,10534,24562,15355
2020,Herbag Zip 31,Vert Criquet,11020,24219,22022
2021,Herbag Zip 31,Vert Criquet,11258,24014,14948
2022,Herbag Zip 31,Vert Criquet,10847,20155,16002
2023,Herbag Zip 31,Vert Criquet,11985,21598,16651
2024,Herbag Zip 31,Vert Criquet,11666,17087,14568
2025,Herbag Zip 31,Vert Criquet,11539,19735,21883
2015,Jypsière 28,Gold,8732,12263,13961
2016,Jypsière 28,Gold,9016,16652,15430
2017,Jypsière 28,Gold,9092,17688,14507
2018,Jypsière 28,Gold,9584,20630,13973
2019,Jypsière 28,Gold,9780,22270,12471
2020,Jypsière 28,Gold,9884,19922,19146
2021,Jypsière 28,Gold,9755,17948,16269
2022,Jypsière 28,Gold,10316,24606,17314
2023,Jypsière 28,Gold,10563,16026,20592
2024,Jypsière 28,Gold,11216,26008,14638
2025,Jypsière 28,Gold,11029,25807,20167
2015,Jypsière 28,Noir,11678,24777,21291
2016,Jypsière 28,Noir,11864,21331,19272
2017,Jypsière 28,Noir,12096,28140,22611
2018,Jypsière 28,Noir,12379,20870,23778
2019,Jypsière 28,Noir,12793,27606,24865
2020,Jypsière 28,Noir,12809,28917,14792
2021,Jypsière 28,Noir,12829,30243,20298
2022,Jypsière 28,Noir,13175,24222,23763
2023,Jypsière 28,Noir,13947,24058,23842
2024,Jypsière 28,Noir,13318,28490,26441
2025,Jypsière 28,Noir,13258,17378,25054
2015,Jypsière 28,Etoupe,10053,24678,16345
2016,Jypsière 28,Etoupe,10284,16292,12669
2017,Jypsière 28,Etoupe,10369,17327,19571
2018,Jypsière 28,Etoupe,10810,24432,15002
2019,Jypsière 28,Etoupe,10663,14852,11748
2020,Jypsière 28,Etoupe,10984,22586,14047
2021,Jypsière 28,Etoupe,11342,26735,12581
